產品,名稱,品名
SP0,薑,其他
MN1,柳松菇,
FI1,茄子,胭脂茄
LS1,茴香,
SA52,蘿蔔,青色
SJ3,芋,里芋
LY4,人參葉,
OH2,桶筍,綠竹筍
SB9,胡蘿蔔,進口
SZ5,草石蠶,
MA0,洋菇,其他
MG2,巴西蘑菇,盒裝
LB8,小白菜,水耕
LF1,蕹菜,大葉
MG1,巴西蘑菇,
OH1,桶筍,麻竹筍
FX2,虎豆,福豆
LA9,甘藍,進口
OE1,醃瓜,乾
LA0,甘藍,其他
LL2,茼蒿,山茼蒿
FA2,樊花,
LC3,包心白,包頭蓮
LG8,芹菜,水耕
SE2,青蔥,北蔥
SJ1,芋,麵芋
FN2,敏豆,青豆
LH9,菠菜,進口
FS2,越瓜,白色
MF2,蠔菇,盒裝
LG5,芹菜,芹菜管
LM8,莧菜,水耕
MM1,猴頭菇,
MM2,猴頭菇,盒裝
SR1,菱角,生菱角
SA0,蘿蔔,其他
SA6,蘿蔔,白玉蘿蔔
SZ4,百合,
FG2,苦瓜,青大米
LY6,香椿,
FE9,冬瓜,進口
FL1,豌豆,白花
FN0,敏豆,其他
FL6,豌豆,甜豌豆
FW2,洛神花,
SE9,青蔥,進口
FK9,甜椒,進口
FJ0,番茄,其他
MG0,巴西蘑菇,其他
FV9,辣椒,進口
OA1,鹹菜,清心
FL2,豌豆,紅花
LJ1,芥菜,芥菜仁
SG1,大蒜,硬梗
OI1,筍乾,
SL2,菊芋,雪蓮薯
LG1,芹菜,青梗
FO1,蠶豆,豆莢
FB0,花椰菜,其他
LC2,包心白,成功白
LU1,菾菜,茄茉菜
SS1,大心菜,帶葉
LL1,茼蒿,
SU4,薯蕷,粉薯
SS0,大心菜,其他
SH4,竹筍,孟宗筍
LL0,茼蒿,其他
SA12,蘿蔔,梅花
SG9,大蒜,進口
MJ0,杏鮑菇,其他
LJ5,芥菜,翡翠娃娃菜
SE4,青蔥,珠蔥
FL3,豌豆,豆莢
LC5,包心白,天津白
LH3,菠菜,甜菠菜
LD2,青江白菜,大梗
FL4,豌豆,豆仁
FE2,冬瓜,青皮
LR1,塌棵菜,
FX1,花豆,
FK6,甜椒,水果彩椒
FY8,玉米,白龍王
SJ5,芋,芋角
SP4,薑,竹薑
SP5,薑,薑黃
SZ8,香茅,
LN3,油菜,油菜花
SG3,大蒜,蒜苔
LL8,茼蒿,水耕
FO2,蠶豆,豆仁
MI2,秀珍菇,盒裝
SH3,竹筍,桂竹筍
MI0,秀珍菇,其他
LD8,青江白菜,水耕
OG2,熟筍,箭竹筍
OI3,筍片,
SX0,芽菜類,其他
FA9,百果,進口
FH0,扁蒲,其他
LT1,海菜,龍鬚菜
LY3,豬母菜,
OI2,筍絲,
LA3,甘藍,甜甘藍
FC2,胡瓜,改良種
LB0,小白菜,其他
FB21,花椰菜,白梗
FB1,花椰菜,青梗
LB1,小白菜,土白菜
LB2,小白菜,蚵仔白
OH3,桶筍,桂竹筍
SA3,蘿蔔,矸仔
LV9,巴西利,進口
SA1,蘿蔔,梅花
MH1,松茸,
MD0,濕香菇,其他
LK0,芥藍菜,其他
SA4,蘿蔔,櫻桃
LQ2,紅鳳菜,白鳳菜
LF0,蕹菜,其他
FT4,南瓜,觀賞
SA2,蘿蔔,椿仔
MF0,蠔菇,其他
FD9,花胡瓜,進口
FB2,花椰菜,白梗
FM0,菜豆,其他
SR4,菱角,熟菱角
SH6,竹筍,箭竹筍
SA5,蘿蔔,青色
SX5,芽菜類,蘿蔔嬰
